1,65,4.804
1,3533,4.7264
1,3562,3.5454
1,3608,3.491
1,141,3.3262
1,361,3.3262
1,92,3.2311
1,3829,3.1818
1,3420,3.1273
1,3734,3.0561
1,3387,2.9626
1,3599,2.9626
1,3529,2.9569
1,3405,2.9026
1,3706,2.7539
1,3403,2.6467
1,125,2.598
1,3417,2.598
1,3596,2.5541
1,177,2.5185
1,3503,2.5024
1,282,2.4832
1,3818,2.4728
1,163,2.4116
1,3708,2.3733
1,3699,2.3216
1,3495,2.2833
1,3710,2.2833
1,184,2.2832
1,3838,2.2832
1,3519,2.245
1,3817,2.245
1,3345,2.2345
1,270,2.155
1,3407,2.155
1,3680,2.155
1,3890,2.155
1,314,2.1025
1,3535,2.1025
1,3606,2.0641
1,3327,1.9742
1,3441,1.9742
1,3590,1.9742
1,3705,1.9742
1,3834,1.9742
1,33,1.9358
1,170,1.9358
1,268,1.9358
1,3337,1.9358
1,3622,1.9358
1,3775,1.9358
1,3827,1.9358
1,3700,1.8259
1,352,1.7838
1,16,1.755
1,24,1.755
1,39,1.755
1,172,1.755
1,326,1.755
1,3343,1.755
1,3449,1.755
1,3490,1.755
1,3582,1.755
1,3589,1.755
1,3617,1.755
1,3707,1.755
1,3816,1.755
1,3835,1.755
1,3937,1.755
1,3329,1.7197
1,3531,1.6755
1,3530,1.6049
1,220,1.5711
1,3351,1.5711
1,3354,1.5711
1,3356,1.5711
1,3561,1.5627
1,287,1.5168
1,3472,1.5168
1,216,1.4865
1,3504,1.4865
1,3528,1.4563
1,3532,1.423
1,3876,1.3858
1,360,1.3435
1,106,1.336
1,366,1.336
1,3591,1.336
1,3658,1.336
1,3694,1.336
1,3709,1.336
1,3788,1.336
1,3820,1.336
1,3830,1.336
1,3939,1.336
1,3592,1.2948
1,3704,1.2948
1,146,1.2371
1,262,1.2371
1,12,1.2076
1,15,1.2076
1,27,1.2076
1,95,1.2076
1,129,1.2076
1,145,1.2076
1,217,1.2076
1,234,1.2076
1,247,1.2076
1,274,1.2076
1,327,1.2076
1,3369,1.2076
1,3379,1.2076
1,3436,1.2076
1,3515,1.2076
1,3517,1.2076
1,3549,1.2076
1,3551,1.2076
1,3614,1.2076
